plasmid_0;97+
plasmid_1;38+,101-,206+,41+,101-
plasmid_2;81+,144-,160-,47-,29-,94-,117+,58-,120-,211+,220-,192-,176+,130+,214-,242-,72-,166-,189-,56+,126-,112+,180-,157+,73+,164+,173-,78+,172-,111+,31+,64+,82-,125-,185+,142-,116-,151+
plasmid_3;113+,126+,57+,189+,167-,72+,242+,214+
plasmid_4;57+
plasmid_5;105-,239-,214-,254-,237+,128+,83-,42+
plasmid_6;129+,83-,43+,105-,239-
plasmid_7;35+,86+,133+,210+,140-,54+,33+,93-,188-,119-,146-,137-,178-,28+,95-,196+,69+,62-
plasmid_8;226+,256-,46+,223-,210-,133-,86-,75+,181+,207+,61+,226-,115-,250-,213-,182-,206-,101+,50+,101-
plasmid_9;226-,115-,250-,213-,45+,223-,210-,104-
plasmid_10;80-,144-,161-,47-,37+,101-,206+,182+,213+,250+,115+,226+,256-,257+
plasmid_11;183-,21+,59-,14+,54-,40+,86-,75+,76+,119-,146-,137-,178-,240+,199-,99-,195-,193+
plasmid_12;76+
plasmid_13;186+,69-,201+,187+,24+,109+,123+,19-,117-,91-
plasmid_14;26+,198-,152-,174+,231+,174+
plasmid_15;225+,202+,5+,171-,135+,79+,131+,183-,9-,203-,127-,147-,236-,122-,203-,222-,229+,236-
plasmid_16;171-,135+,79+,131+,183-
plasmid_17;167+
plasmid_18;121+,58+
plasmid_19;30+,59+,13-,96+
plasmid_20;51+,66+,27+,59+,3+,256+
plasmid_21;59+
plasmid_22;90+
plasmid_23;217-,77+,217+,243+,115+
plasmid_24;156-,73+,165-,173-,85-,172-,208+,31+,65-,82-,124-,185+,141+,116-,150-
plasmid_25;124+,82+,65+
plasmid_26;243+,115+
plasmid_27;245-,67-,163-,95+,48+,60-,106-
