plasmid_0;91_4+,44_2-,56_3+,129_6+,97_2-,140_8+,75_11-,91_8+,40_3-,47_7-,96_2+,120_2-,140_8+,143_1-,130_5-,122_8+,153_4+,105_0-,113_1-,142_3+,54_0-,154_1-,87_4+,68_0+,157_6+,149_0+,79_7-,99_2+,23_0-,126_2-,69_6+,128_4-
# 91_4	0.6832298136645962	1	322
# 44_2	0.8038299155609168	1	6632
# 56_3	0.9877232142857143	1	1792
# 129_6	1.0	1	62
# 97_2	0.4075829383886256	1	211
# 140_8	0.0	1	23
# 75_11	1.0	1	713
# 91_8	0.6832298136645962	1	322
# 40_3	0.775715193897012	1	7865
# 47_7	0.9129207383279044	1	4605
# 96_2	0.9519650655021834	1	229
# 120_2	1.0	1	84
# 140_8	0.0	1	23
# 143_1	0.0	1	22
# 130_5	0.0	1	62
# 122_8	0.0	1	69
# 153_4	0.0	1	8
# 105_0	0.0	1	150
# 113_1	0.0	1	109
# 142_3	0.0	1	22
# 54_0	0.0	1	2851
# 154_1	0.0	1	7
# 87_4	0.0	1	343
# 68_0	0.0	1	1087
# 157_6	0.0	1	3
# 149_0	0.0	1	16
# 79_7	0.0	1	600
# 99_2	0.0	1	197
# 23_0	0.0	1	69116
# 126_2	0.0	1	63
# 69_6	0.9600742804085423	1	1077
# 128_4	0.9838709677419355	1	62

plasmid_1;57_0+,73_0+,41_0-,75_10+,140_10-,120_3+,96_4-,47_5+,40_5+,91_2-,75_4+,126_3+,23_1+,99_1-,79_10+,150_1+,156_0-,68_6-,87_2-,155_5-,54_9+,141_3+,113_0+,105_1+,153_5-,122_11-,130_2+,143_0+,35_1+,128_0+,69_5-
# 57_0	0.8349626221966647	1	1739
# 73_0	0.9322235434007135	1	841
# 41_0	0.9568145800316957	1	7572
# 75_10	1.0	1	713
# 140_10	0.0	1	23
# 120_3	1.0	1	84
# 96_4	0.9519650655021834	1	229
# 47_5	0.9129207383279044	1	4605
# 40_5	0.775715193897012	1	7865
# 91_2	0.6832298136645962	1	322
# 75_4	1.0	1	713
# 126_3	0.0	1	63
# 23_1	0.0	1	69116
# 99_1	0.0	1	197
# 79_10	0.0	1	600
# 150_1	0.0	1	16
# 156_0	0.0	1	3
# 68_6	0.0	1	1087
# 87_2	0.0	1	343
# 155_5	0.0	1	7
# 54_9	0.0	1	2851
# 141_3	0.0	1	22
# 113_0	0.0	1	109
# 105_1	0.0	1	150
# 153_5	0.0	1	8
# 122_11	0.0	1	69
# 130_2	0.0	1	62
# 143_0	0.0	1	22
# 35_1	0.0	1	15529
# 128_0	0.9838709677419355	1	62
# 69_5	0.9600742804085423	1	1077

plasmid_2;69_7+,125_2-,15_0-,115_0-,82_0-,103_5-,98_4-,109_0-,66_1+,102_3-,40_6+,91_3-,75_8+,140_1-,120_4+,96_12-,47_10+,40_6+
# 69_7	0.9600742804085423	1	1077
# 125_2	0.0	1	63
# 15_0	0.0477730067584735	1	157432
# 115_0	0.0	1	101
# 82_0	0.0	1	465
# 103_5	0.7870967741935484	1	155
# 98_4	0.0	1	208
# 109_0	0.0	1	128
# 66_1	0.43125	1	1120
# 102_3	1.0	1	164
# 40_6	0.775715193897012	1	7865
# 91_3	0.6832298136645962	1	322
# 75_8	1.0	1	713
# 140_1	0.0	1	23
# 120_4	1.0	1	84
# 96_12	0.9519650655021834	1	229
# 47_10	0.9129207383279044	1	4605
# 40_6	0.775715193897012	1	7865

plasmid_3;64_2-,17_0-,124_1+,63_2+,53_0-,127_1+,56_7+,129_7+
# 64_2	0.9148773006134969	1	1304
# 17_0	0.0	1	154590
# 124_1	0.0	1	63
# 63_2	0.0	1	1335
# 53_0	0.0	1	3072
# 127_1	0.0	1	62
# 56_7	0.9877232142857143	1	1792
# 129_7	1.0	1	62

plasmid_4;120_13+
# 120_13	1.0	1	84

plasmid_5;69_1+
# 69_1	0.9600742804085423	1	1077

plasmid_6;67_3+
# 67_3	0.9471285323609845	1	1097

plasmid_7;62_2+
# 62_2	0.9391304347826087	1	1380

plasmid_8;62_1+
# 62_1	0.9391304347826087	1	1380

plasmid_9;64_0+
# 64_0	0.9148773006134969	1	1304

plasmid_10;64_1+
# 64_1	0.9148773006134969	1	1304

plasmid_11;74_2+
# 74_2	0.8822784810126583	1	790

plasmid_12;34_0+
# 34_0	0.07543017206882753	1	19992

plasmid_13;16_1+
# 16_1	0.07097320929874232	1	155763

plasmid_14;16_0+
# 16_0	0.07097320929874232	1	155763

